Feature	Gain	Cover	Frequency
ctrx_quarter	0.340221768352138	0.0595787219081127	0.0395280235988201
mpayroll	0.070024895528806	0.0693369665335889	0.0324483775811209
mpasivos_margen	0.0636195849611583	0.0209861945525826	0.0283185840707965
cpayroll_trx	0.0571487961335974	0.0357301805566971	0.0147492625368732
mtarjeta_visa_consumo	0.0511939154849424	0.0304508858601449	0.0300884955752212
mcuentas_saldo	0.0396228747138115	0.0290273057496343	0.0336283185840708
mactivos_margen	0.0380349145712927	0.0285912772901491	0.0353982300884956
mprestamos_personales	0.033155383166405	0.0289476368008747	0.0141592920353982
mrentabilidad_annual	0.0256181960221293	0.0163930019764766	0.0330383480825959
Master_fechaalta	0.0188992252676893	0.0360048314320155	0.0383480825958702
mcuenta_corriente	0.0166288426972266	0.0102055014589818	0.015929203539823
Visa_msaldototal	0.0161392442841485	0.0190947184030829	0.0176991150442478
cliente_edad	0.0145280637368384	0.0434354906688375	0.048377581120944
mcaja_ahorro	0.0135694625176352	0.0101824792532566	0.0188790560471976
chomebanking_trx	0.0129850852386693	0.0159259339290969	0.0306784660766962
mrentabilidad	0.0110621022641768	0.015861390973397	0.0283185840707965
cliente_antiguedad	0.00897426533679743	0.00672585662295342	0.0112094395280236
Visa_fechaalta	0.00806087261765508	0.0140147677352269	0.0218289085545723
thomebanking	0.00783874912513798	0.00318057830569087	0.00530973451327434
mcomisiones_otras	0.00733670979276933	0.0100201928978111	0.0176991150442478
numero_de_cliente	0.00691034156040681	0.0118205697753578	0.0200589970501475
cproductos	0.0063971239694085	0.0222559297830803	0.0212389380530973
mcaja_ahorro_dolares	0.00633986976157032	0.0219153021129336	0.0247787610619469
ctarjeta_visa_trx	0.00538549323384255	0.00866012580221785	0.00766961651917404
tcallcenter	0.00527195958818326	0.00728630596794138	0.00412979351032448
Master_Fvencimiento	0.00526196140624928	0.0174831034175657	0.0182890855457227
mtransferencias_emitidas	0.00515136078168016	0.00944179027134093	0.0200589970501475
Visa_mpagominimo	0.00509741206645557	0.0179069139520827	0.0206489675516224
Master_mfinanciacion_limite	0.00499232080224742	0.00688137768110247	0.0117994100294985
mcomisiones	0.00498676989478601	0.00499965567665999	0.0129793510324484
ccaja_ahorro	0.00464040723265108	0.030780063012181	0.0123893805309735
Visa_msaldopesos	0.00456746030996374	0.0239476580055379	0.0176991150442478
mdescubierto_preacordado	0.00429648116745285	0.00859317965135899	0.00353982300884956
mtransferencias_recibidas	0.0041308879366976	0.00985782576269639	0.0147492625368732
Visa_mconsumospesos	0.00412770255366825	0.00843131738917686	0.0230088495575221
mtarjeta_visa_debitos_automaticos	0.00375099700702601	0.0080789968619118	0.0135693215339233
ccallcenter_trx	0.00343277647865753	0.00961934398426735	0.00353982300884956
Master_msaldopesos	0.00340523548767509	0.00534226244870239	0.00471976401179941
ccomisiones_otras	0.0033947492086636	0.0164155798940211	0.0129793510324484
Master_mpagominimo	0.00322323434634944	0.00639601303864641	0.00648967551622419
Visa_mpagospesos	0.0031258435264338	0.00786848504394717	0.0123893805309735
mautoservicio	0.00267839934625924	0.0261598092468891	0.0259587020648968
mplazo_fijo_dolares	0.00263420203296325	0.0151467130449674	0.00412979351032448
Visa_mpagado	0.00245779687280471	0.00926159102424784	0.00884955752212389
Master_mpagospesos	0.00245357970090115	0.0349447194431211	0.0265486725663717
Visa_Fvencimiento	0.00240403893262571	0.00437900528319232	0.00943952802359882
ccuenta_debitos_automaticos	0.00234880083644361	0.0108763766117816	0.00353982300884956
ccajas_consultas	0.0023421708524972	0.0132999888322107	0.00294985250737463
Master_status	0.00216942938847932	0.000778352502685419	0.00117994100294985
ctransferencias_recibidas	0.00210059896142818	0.0111882467196891	0.00707964601769912
mpagomiscuentas	0.00208420728976084	0.00588643469034427	0.0106194690265487
ctransferencias_emitidas	0.0020181505315189	0.00656385299635017	0.00471976401179941
mcuenta_debitos_automaticos	0.00163574777565629	0.00399089936246666	0.00471976401179941
Visa_status	0.00161012298072196	0.00962207029810323	0.00235988200589971
Visa_mlimitecompra	0.00145207842966964	0.00485128361923614	0.00471976401179941
mcomisiones_mantenimiento	0.00142081019274962	0.00267972416166354	0.00412979351032448
Visa_mfinanciacion_limite	0.00128366516741078	0.00216049264289065	0.00412979351032448
Master_msaldototal	0.00119032951772852	0.00373553463317245	0.00294985250737463
cmobile_app_trx	0.00113285828151217	0.00103834186804197	0.00235988200589971
Master_mconsumospesos	0.00109920778809067	0.0031643617870967	0.00530973451327434
ccaja_seguridad	0.00100371404564825	0.00589968255609492	0.00176991150442478
ccajas_trx	0.000980876739779777	0.00297113681834329	0.00117994100294985
ctarjeta_debito	0.000890308724432333	0.00128130691811224	0.00235988200589971
Visa_mpagosdolares	0.000879976538654089	0.0111589438946827	0.0100294985250737
ctarjeta_visa_debitos_automaticos	0.00079832906136563	0.00316107001557634	0.00176991150442478
mextraccion_autoservicio	0.000693594082141231	0.0025234558915743	0.00589970501474926
ccomisiones_mantenimiento	0.000606378065839654	0.00170477413903514	0.00353982300884956
Visa_cconsumos	0.000580386655048555	0.00611821175622877	0.00943952802359882
Master_mlimitecompra	0.000519159064636049	0.0011122148755357	0.00176991150442478
Master_cconsumos	0.000442644209236635	0.00213999480182829	0.00117994100294985
cseguro_accidentes_personales	0.000437776499868135	0.00196096685993876	0.00176991150442478
ctarjeta_debito_trx	0.000425983404963953	0.00249835360936689	0.00412979351032448
ctarjeta_master_trx	0.000396527373909734	0.000192296002557484	0.000589970501474926
cprestamos_personales	0.000363852315046649	0.00199612621096297	0.000589970501474926
mtarjeta_visa_descuentos	0.000351834513258343	0.0129607748062752	0.00825958702064897
ctarjeta_master	0.000307161961508828	0.000159984134872967	0.000589970501474926
Visa_fultimo_cierre	0.000281824993214794	0.000650518676158547	0.00176991150442478
Master_fultimo_cierre	0.000247882728519564	0.000272025536069031	0.000589970501474926
catm_trx_other	0.000234146168643248	0.00214314520892753	0.00117994100294985
Visa_msaldodolares	0.000185199985901478	0.000309689056838797	0.000589970501474926
matm_other	0.000119254507887061	0.00048817173596115	0.00117994100294985
Master_mpagosdolares	0.000101515011128637	0.000130903453956901	0.000589970501474926
matm	8.21383370517294e-05	0.000762741831610337	0.00117994100294985
