fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 103556	-0.586462883966222	5098	356	3	5	8816000	58
20220408 103627	-0.641298335561941	7979	1995	9	5	8180000	59
20220408 103714	-0.83667522669873	7271	164	20	5	8411000	60
20220408 103814	-0.375891927141971	556	48	19	5	6368000	61
20220408 103847	-0.436924957616528	6843	1949	20	5	8612000	62
20220408 103932	-0.0257824738334931	1718	850	20	5	9803000	63
20220408 103954	-0.284216024951527	2940	1458	3	5	8581000	64
20220408 104034	-0.978940217375882	2653	1316	20	5	9100000	65
20220408 104052	-0.915982403588224	2922	1452	3	5	8581000	66
20220408 104111	-0.620427164378711	83	35	3	5	8617000	67
20220408 104203	-0.661083215638276	2427	176	20	5	9889000	68
20220408 104245	-0.713399859476105	1834	645	20	5	10324000	69
20220408 104340	-0.698560662449825	7012	17	20	5	7824000	70
20220408 104421	-0.730994052974428	2035	1017	20	5	9657000	71
20220408 104444	-0.71894136797471	972	484	4	5	9574000	72
20220408 104522	-0.713261585058341	3256	1625	17	5	9379000	73
20220408 104602	-0.348396988439299	2618	1274	20	5	9058000	74
20220408 104620	-0.358516761353516	7963	832	3	5	8180000	75
20220408 104653	-0.537120939276838	7978	584	9	5	8180000	76
20220408 104735	-0.311238309078738	415	180	8	5	8414000	77
20220408 104759	-0.182661046794267	2004	1002	3	5	8744000	78
20220408 104841	-0.152612077238157	1674	822	20	5	9786000	79
20220408 104921	-0.649033377026351	1739	862	20	5	10125000	80
20220408 104956	-0.192785883438481	7737	801	17	5	8384000	81
20220408 105015	-0.42604770289788	2723	942	3	5	8843000	82
20220408 105100	-0.836820137417044	926	460	15	5	9823000	83
20220408 105141	-0.287276794986543	7884	503	20	5	8384000	84
20220408 105230	-0.448625781027846	7972	1	14	5	7963000	85
20220408 105328	-0.916275136627408	268	132	20	5	7503000	86
20220408 105348	-0.894476626298499	1082	397	3	5	8914000	87
20220408 105434	-0.578094075694653	1159	436	18	5	10087000	88
20220408 105515	-0.831047680339486	7318	472	20	5	8477000	89
20220408 105552	-0.999774672712955	774	379	8	5	10364000	90
20220408 105636	-0.674752643950368	1165	545	20	5	10314000	91
20220408 105727	-0.847171285374901	758	376	20	5	10277000	92
20220408 105813	-0.611231908692485	1157	574	20	5	10256000	93
20220408 105906	-0.047723761475232	1833	195	20	5	10243000	94
20220408 105951	-0.992513207178329	1003	500	20	5	10104000	95
20220408 110036	-0.645695758480662	3133	422	20	5	9622000	96
20220408 110127	-0.832598191043623	2361	167	20	5	9856000	97
20220408 110202	-0.0373239978638749	1986	5	8	5	9818000	98
20220408 110314	-0.327019214803293	3437	28	13	5	8629000	99
20220408 110426	-0.595266675853003	1948	66	13	5	9366000	100
20220408 110527	-0.69603097307237	1361	124	18	5	9104000	101
20220408 110607	-0.0536857600286021	2432	1207	16	5	9415000	102
20220408 110626	-0.827867608461708	2993	1488	3	5	8581000	103
20220408 110656	-0.132297454007343	5887	41	6	5	7803000	104
20220408 110729	-0.900965808899084	6833	2000	20	5	8537000	105
20220408 110853	-0.067579115010217	155	73	20	5	6354000	106
20220408 110953	-0.659614441785007	302	148	20	5	7562000	107
20220408 111032	-0.925381405301051	817	408	8	5	10725000	108
20220408 111112	-0.999928368315317	2231	6	9	5	9847000	109
20220408 111152	-0.717730915337346	4399	618	11	5	9427000	110
20220408 111229	-0.519295709778338	5494	1057	13	5	9010000	111
20220408 111307	-0.0636901679585207	1738	862	9	5	10125000	112
20220408 111356	-0.0471900673375645	3265	283	20	5	9509000	113
20220408 111435	-0.267985019098017	1521	757	8	5	9772000	114
20220408 111511	-0.834267832942061	839	412	7	5	10833000	115
20220408 111549	-0.585285810050745	837	417	8	5	10598000	116
